ROI,Effect,MeanEffect,StdEffect,StderrEffect
100,EvSem,0.136821,0.387593,0.103589
100,WProd,0.338587,0.507964,0.135759
100,SComp,-0.015538,0.231570,0.061890
100,WComp,0.098346,0.420678,0.112431
100,Artic,0.449135,0.489278,0.130765
101,SProd,1.911688,3.397672,0.908066
101,EvSem,0.506987,0.726372,0.194131
101,WProd,1.942751,3.043455,0.813398
101,SComp,0.157173,0.789701,0.211056
101,WComp,0.183676,1.088873,0.291014
101,Artic,2.032330,3.543855,0.947135
102,SProd,0.201294,0.266351,0.071185
102,EvSem,0.070877,0.161225,0.043089
102,WProd,0.230396,0.208268,0.055662
102,SComp,0.032133,0.144730,0.038681
102,WComp,0.060489,0.167568,0.044784
102,Artic,0.336002,0.362128,0.096783
103,SProd,1.696410,2.533103,0.677000
103,EvSem,0.582476,0.714045,0.190837
103,WProd,1.431872,2.484304,0.663958
103,SComp,0.068249,0.286028,0.076444
103,WComp,0.206557,0.430861,0.115152
103,Artic,1.853784,2.667355,0.712881
104,SProd,0.313020,0.332372,0.088830
104,EvSem,0.079933,0.229942,0.061455
104,WProd,0.365857,0.398886,0.106607
104,SComp,0.059407,0.199307,0.053267
104,WComp,0.043013,0.249299,0.066628
104,Artic,0.449524,0.462090,0.123499
105,SProd,0.093643,0.250587,0.066972
105,EvSem,0.110389,0.265378,0.070925
105,WProd,0.273221,0.367729,0.098280
105,SComp,0.076667,0.146384,0.039123
105,WComp,0.084611,0.194209,0.051904
105,Artic,0.286618,0.436246,0.116592
106,SProd,2.060350,2.719238,0.726747
106,EvSem,0.398035,0.922492,0.246546
106,WProd,1.884939,2.626187,0.701878
106,SComp,0.150166,0.450473,0.120394
106,WComp,0.159888,0.708373,0.189321
106,Artic,2.260503,2.711639,0.724716
107,SProd,0.560922,1.725055,0.461040
107,EvSem,0.556382,1.206888,0.322554
107,WProd,0.729896,2.298573,0.614320
107,SComp,0.165983,0.804373,0.214978
107,WComp,0.211649,0.696833,0.186236
107,Artic,0.984341,2.414341,0.645260
108,SProd,1.190581,3.048148,0.814652
108,EvSem,0.464135,0.612681,0.163746
108,WProd,1.219139,2.488749,0.665146
108,SComp,0.307394,0.561508,0.150069
108,WComp,0.337648,0.616853,0.164861
108,Artic,1.536943,2.856988,0.763562
109,SProd,0.468590,0.506697,0.135421
109,EvSem,0.195789,0.366448,0.097937
109,WProd,0.509858,0.569651,0.152246
109,SComp,0.013322,0.229422,0.061316
