W,PRON,Include,256,NL,NN,SFN,NBN,SFBN,NBF,NBE,SFBF,SFBE,NON,SFON,NPN,SFPN,BFNC,BFNT,TFNC,TFNT,BFSC,BFST,TFSC,TFST,NP
scrank,skr{Nk,1,,6,1,3,23,365,23,0,365,0,45,183,0,0,1050,849727,191,30288,88,14670,23,1990,6
screague,skrig,1,,8,0,0,1,30,1,0,30,0,45,183,5,52,1322,689051,197,55272,32,3850,12,1297,5
scrice,skr2s,,,6,1,1,14,396,14,0,396,0,45,183,1,0,814,282788,117,25876,117,29366,25,3680,5
scrick,skrIk,,,6,0,0,22,386,22,0,386,0,45,183,1,0,912,264241,143,23831,94,20541,20,1923,5
scrif,skrIf,1,,5,1,0,1,2694,1,0,2694,0,45,183,2,0,644,183493,80,6887,50,6263,9,615,5
scrile,skr2l,1,,6,1,1,12,795,12,0,795,0,45,183,3,0,1202,367647,145,29146,94,17926,20,1762,5
scrilth,skrIlT,,,7,0,0,2,6,2,0,6,0,45,183,0,0,1169,2143050,121,14770,81,6495,21,995,6
scrinch,skrInJ,1,,7,1,0,7,33,7,0,33,0,45,183,1,0,1440,805599,191,37297,93,8604,25,1452,6
scrirm,skr3m,,,6,0,0,1,70,1,0,70,0,45,183,4,18,752,244228,76,7914,92,19217,19,1578,5
scroat,skr5t,1,,6,0,0,11,176,11,0,176,0,45,183,1,0,971,655234,140,20245,79,20559,18,2885,5
scroise,skr4s,1,,7,0,0,2,60,0,2,0,60,45,183,0,0,1053,852358,115,16931,61,21322,17,870,5
scrook,skruk,,,6,0,0,12,1382,2,10,1,1381,45,183,3,5,971,418720,161,62339,77,24085,16,1367,5
scroot,skrut,1,,6,0,0,11,169,9,2,57,112,45,183,3,5,1023,508054,160,28429,77,24085,16,1367,5
scrorne,skr9n,,,7,0,0,1,11,1,0,11,0,45,183,2,37,1164,780972,119,21760,59,21008,17,870,5
scroul,skr6l,,,6,1,3,3,50,1,2,10,40,45,183,2,0,971,766884,144,149527,78,18727,18,2134,5
scroun,skr6n,1,,6,0,0,1,1,1,0,1,0,45,183,1,37,1060,715989,169,90264,78,18727,18,2134,5
scruite,skrut,1,,7,0,0,2,452,0,2,0,452,45,183,3,5,837,545872,106,38629,51,4536,16,842,5
scrure,skr9,,,6,0,0,4,340,4,0,340,0,45,183,4,12,996,537304,75,12189,76,15532,18,1345,4
scrusk,skrVsk,1,,6,0,0,6,20,6,0,20,0,45,183,0,0,644,225088,95,9409,80,14570,20,1823,6
scruzz,skrVz,,,6,0,0,2,7,2,0,7,0,45,183,5,6,467,67757,68,5291,74,13746,18,1345,5
shradge,Sr{_,1,,7,0,0,3,6,2,1,6,0,30,134,0,0,1051,507062,93,12374,67,22364,9,162,4
shrafe,Sr1f,,,6,1,0,3,77,2,1,77,0,30,134,0,0,827,317783,56,5194,122,33524,22,2194,4
shraff,Sr{f,1,,6,0,0,4,112,2,2,1,111,30,134,1,30,819,279918,60,5916,121,33420,21,2192,4
shrag,Sr{g,,,5,2,4,22,133,22,0,133,0,30,134,4,11,770,270930,49,4915,82,39687,5,214,4
shrail,Sr1l,,,6,0,0,18,188,17,1,188,0,30,134,5,7,1111,479359,130,23070,122,34032,23,2811,4
shraim,Sr1m,1,,6,0,0,3,110,3,0,110,0,30,134,1,39,981,454637,91,20812,122,34032,23,2811,4
shramn,Sr{m,1,,6,0,0,1,33,1,0,33,0,30,134,5,12,855,314464,65,5921,126,34065,21,2191,4
