production,img,hit,subject_np,vp,subject_np_head,vp_head
A man is painting a ceiling,4041300706.jpg,1,A man,is painting a ceiling,man,painting
A shirtless man is painting a ceiling white.,4041300706.jpg,1,A shirtless man,is painting a ceiling white.,man,painting
A man is painting a ceiling.,4041300706.jpg,1,A man,is painting a ceiling.,man,painting
A man is painting the ceiling of a white room.,4041300706.jpg,1,A man,is painting the ceiling of a white room.,man,painting
A man is using a roller to paint his ceiling.,4041300706.jpg,1,A man,is using a roller to paint his ceiling.,man,using
A man is painting a ceiling,4041300706.jpg,1,A man,is painting a ceiling,man,painting
A shirtless man is painting a ceiling.,4041300706.jpg,1,A shirtless man,is painting a ceiling.,man,painting
A shirtless man is trying to paint the ceiling of a room.,4041300706.jpg,1,A shirtless man,is trying to paint the ceiling of a room.,man,trying
a guy painting a roof,4041300706.jpg,1,a guy, painting a roof,guy,painting
A man is applying paint to the ceiling.,4041300706.jpg,1,A man,is applying paint to the ceiling.,man,applying
A man is painting his ceiling.,4041300706.jpg,1,A man,is painting his ceiling.,man,painting
A man is applying paint to the ceiling.,4041300706.jpg,1,A man,is applying paint to the ceiling.,man,applying
A shirtless man is painting the ceiling.,4041300706.jpg,1,A shirtless man,is painting the ceiling.,man,painting
A shirtless brown haired man is painting the ceiling white with a long handled paint roller.,4041300706.jpg,1,A shirtless brown haired man,is painting the ceiling white with a long handled paint roller.,man,painting
A man is painting.,4041300706.jpg,1,A man,is painting.,man,painting
a man is painting the ceiling with a rolling brush.,4041300706.jpg,1,a man,is painting the ceiling with a rolling brush.,man,painting
A man is seen using a long paint roller painting the roof with white paint.,4041300706.jpg,1,A man, is seen using a long paint roller painting the roof with white paint,man,is
A little girl is holding a slug.,5194023863.jpg,1,A little girl,is holding a slug.,girl,holding
A girl is holding a nail,5194023863.jpg,1,A girl,is holding a snail,girl,holding
A young girl holding a snail.,5194023863.jpg,1,A young girl,is holding a snail.,girl,holding
That girl has a snail in hand,5194023863.jpg,1,That girl, has a snail in hand,girl,has
A girl is holding a snail.,5194023863.jpg,1,A girl,is holding a snail.,girl,holding
A kid is smiling.,5194023863.jpg,1,A kid,is smiling.,kid,smiling
A small child is holding a large snail.,5194023863.jpg,1,A small child,is holding a large snail.,child,holding
a child holding a snail,5194023863.jpg,1,a child, holding a snail,child,holding
A young girl is holding a gigantic snail.,5194023863.jpg,1,A young girl,is holding a gigantic snail.,girl,holding
A girl holds a snail.,5194023863.jpg,1,A girl, holds a snail.,girl,holds
A little girl holds a giant snail up to her face.,5194023863.jpg,1,A little girl, holds a giant snail up to her face.,girl,holds
A young girl is holding a snail,5194023863.jpg,1,A young girl,is holding a snail,girl,holding
A girl holds up a large slug.,5194023863.jpg,1,A girl, holds up a large slug.,girl,holds
A little girl is holding a large snail.,5194023863.jpg,1,A little girl,is holding a large snail.,girl,holding
A little girl is holding up a snail,5194023863.jpg,1,A little girl,is holding up a snail,girl,holding
A girl is holding a large snail,5194023863.jpg,1,A girl,is holding a large snail,girl,holding
A little girl is holding a large snail.,5194023863.jpg,1,A little girl,is holding a large snail.,girl,holding
A girl is holding a snail.,5194023863.jpg,1,A girl,is holding a snail.,girl,holding
A young girl is holding a large snail.,5194023863.jpg,1,A young girl,is holding a large snail.,girl,holding
A young girl is holding a large snail.,5194023863.jpg,1,A young girl,is holding a large snail.,girl,holding
a girl is holding a snail.,5194023863.jpg,1,a girl,is holding a snail.,girl,holding
A little girl is holding a giant snail.,5194023863.jpg,1,A little girl,is holding a giant snail.,girl,holding
A girl is holding a large snail.,5194023863.jpg,1,A girl,is holding a large snail.,girl,holding
A girl is holding a huge snail.,5194023863.jpg,1,A girl,is holding a huge snail.,girl,holding
A child is holding a snail.,5194023863.jpg,1,A child,is holding a snail.,child,holding
A young girl is holding a large snail.,5194023863.jpg,1,A young girl,is holding a large snail.,girl,holding
A young girl holds up a large snail.,5194023863.jpg,1,A young girl, holds up a large snail.,girl,holds
A little girl in a yellow shirt is holding a large snail.,5194023863.jpg,1,A little girl,is holding a large snail.,girl,holding
A young blond girl with blue eyes wearing a yellow shirt holds on to a hand sized snail.,5194023863.jpg,1,A young blond girl, holds on to a hand sized snail.,girl,holds
Man is holding a newborn baby,4858197102.jpg,1,Man,is holding a newborn baby,Man,holding
A man is holding a newborn baby.,4858197102.jpg,1,A man,is holding a newborn baby.,man,holding
a man holding a baby,4858197102.jpg,1,a man, holding a baby,man,holding
A man cradles a crying baby.,4858197102.jpg,1,A man, cradles a crying baby.,man,cradles
A new father is carefully holding is newborn baby.,4858197102.jpg,1,A new father,is holding his newborn baby.,father,holding
A man is holding a newborn baby,4858197102.jpg,1,A man,is holding a newborn baby,man,holding
"A man holds a small, sleepy newborn.",4858197102.jpg,1,A man," holds a small, sleepy newborn.",man,holds
A man holds a baby wrapped in white.,4858197102.jpg,1,A man, holds a baby wrapped in white.,man,holds
A man is holding a newborn baby,4858197102.jpg,1,A man,is holding a newborn baby,man,holding
a man is holding a crying baby.,4858197102.jpg,1,a man,is holding a crying baby.,man,holding
A man is holding and staring at a newborn while sitting.,4858197102.jpg,1,A man, is holding and staring at a newborn while sitting.,man,holding
