production,img,hit,subject_np,vp,subject_np_head,vp_head
A father attempts to console his crying child.,4858197102.jpg,1,A father, attempts to console his crying child.,father,attempts
A father is holding his newborn child.,4858197102.jpg,1,A father,is holding his newborn child.,father,holding
A man is holding his child.,4858197102.jpg,1,A man,is holding his child.,man,holding
A man is holding a baby.,4858197102.jpg,1,A man,is holding a baby.,man,holding
A man is sitting and holding an infant.,4858197102.jpg,1,A man,is sitting and holding an infant.,man,sitting
A man is cradling an infant.,4858197102.jpg,1,A man,is cradling an infant.,man,cradling
A man is holding a baby.,4858197102.jpg,1,A man,is holding a baby.,man,holding
A man is sitting in a chair in a hospital room  holding his newborn son.,4858197102.jpg,1,A man,is sitting in a chair in a hospital room  holding his newborn son.,man,sitting
A man is trying to put his baby to sleep.,4858197102.jpg,1,A man,is trying to put his baby to sleep.,man,trying
A man is holding a yawning infant.,4858197102.jpg,1,A man,is holding a yawning infant.,man,holding
A man holds a baby.,4858197102.jpg,1,A man, holds a baby.,man,holds
A father is holding his newborn child.,4858197102.jpg,1,A father,is holding his newborn child.,father,holding
He has a baby in his hand,4858197102.jpg,1,He, has a baby in his hand,He,has
A father holds his yawning newborn while sitting on a chair.,4858197102.jpg,1,A father, holds his yawning newborn while sitting on a chair.,father,holds
A father is holding his infant child.,4858197102.jpg,1,A father,is holding his infant child.,father,holding
A man is holding a small baby.,4858197102.jpg,1,A man,is holding a small baby.,man,holding
A man is holding a baby,4858197102.jpg,1,A man,is holding a baby,man,holding
he is reads the trumpet,7742281954.jpg,1,he,is reads the trumpet,he,is
A man playing a saxophone.,7742281954.jpg,1,A man, playing a saxophone,man,playing
A man is blowing on a saxophone in an outdoor garden.,7742281954.jpg,1,A man,is blowing on a saxophone in an outdoor garden.,man,blowing
An older man is playing the saxophone outside.,7742281954.jpg,1,An older man,is playing the saxophone outside.,man,playing
A man plays the saxophone.,7742281954.jpg,1,A man, plays the saxophone.,man,plays
a guy playing the trumpet,7742281954.jpg,1,a guy, playing the trumpet,guy,playing
A man is playing saxophone.,7742281954.jpg,1,A man,is playing saxophone.,man,playing
A man is playing an instrument.,7742281954.jpg,1,A man,is playing an instrument.,man,playing
A man is playing a saxophone outside,7742281954.jpg,1,A man,is playing a saxophone outside,man,playing
A man plays the saxophone,7742281954.jpg,1,A man, plays the saxophone,man,plays
An African american man is playing the saxophone in a grassy area.,7742281954.jpg,1,An African american man,is playing the saxophone in a grassy area.,man,playing
A man plays saxophone.,7742281954.jpg,1,A man, plays saxophone.,man,plays
A man is playing the saxophone outdoors.,7742281954.jpg,1,A man,is playing the saxophone outdoors.,man,playing
A man is playing the sax,7742281954.jpg,1,A man,is playing the sax,man,playing
An older man is playing a saxophone outside.,7742281954.jpg,1,An older man,is playing a saxophone outside.,man,playing
A man is playing the saxophone.,7742281954.jpg,1,A man,is playing the saxophone.,man,playing
a man is playing saxophone.,7742281954.jpg,1,a man,is playing saxophone.,man,playing
A man is playing a saxophone and looking at sheet music.,7742281954.jpg,1,A man,is playing a saxophone and looking at sheet music.,man,playing
A man is playing a trombone.,7742281954.jpg,1,A man,is playing a trombone.,man,playing
A man is outside playing a saxophone.,7742281954.jpg,1,A man, is outside playing a saxophone.,man,is
A man plays a musical instrument while at a park.,7742281954.jpg,1,A man, plays a musical instrument while at a park.,man,plays
A man is standing outside at a park playing his saxophone.,7742281954.jpg,1,A man,is standing outside at a park playing his saxophone.,man,standing
A man is playing the saxophone.,7742281954.jpg,1,A man,is playing the saxophone.,man,playing
A man is playing the saxophone,7742281954.jpg,1,A man,is playing the saxophone,man,playing
An older black man is playing a saxophone.,7742281954.jpg,1,An older black man,is playing a saxophone.,man,playing
A man plays a saxophone outside near some trees.,7742281954.jpg,1,A man, plays a saxophone outside near some trees.,man,plays
An African American man wearing a light colored flannel and glasses plays the saxophone in a park.,7742281954.jpg,1,An African American man, plays the saxophone in a park.,man,plays
A man is playing the saxophone outside.,7742281954.jpg,1,A man,is playing the saxophone outside.,man,playing
Two dogs jump and bite each other in mid-air.,3486538055.jpg,1,Two dogs, jump and bite each other in mid-air.,dogs,jump
Two large dogs are fighting.,3486538055.jpg,1,Two large dogs,are fighting.,dogs,fighting
two dogs fighting,3486538055.jpg,1,two dogs, fighting,dogs,fighting
Two dogs are playing together,3486538055.jpg,1,Two dogs,are playing together,dogs,playing
Two dogs are up on their hind legs taking bites at each other.,3486538055.jpg,1,Two dogs, are up on their hind legs taking bites at each other.,dogs,are
Two dogs fight,3486538055.jpg,1,Two dogs, fight,dogs,fight
Two dogs are playing outside in the backyard.,3486538055.jpg,1,Two dogs,are playing outside in the backyard.,dogs,playing
A black and a blonde dog are jumping playfully.,3486538055.jpg,1,A black and a blonde dog,are jumping playfully.,dog,jumping
Two dogs are either playing or fighting.,3486538055.jpg,1,Two dogs,are playing or fighting.,dogs,playing
Two dogs are leaping and biting each other on the neck.,3486538055.jpg,1,Two dogs,are leaping and biting each other on the neck.,dogs,leaping
Two dogs are aggressively playing.,3486538055.jpg,1,Two dogs,are playing.,dogs,playing
Two dogs are going at it and biting each other.,3486538055.jpg,1,Two dogs,are going at it and biting each other.,dogs,going
Two dogs are fighting.,3486538055.jpg,1,Two dogs,are fighting.,dogs,fighting
two dogs are playing with one another.,3486538055.jpg,1,two dogs,are playing with one another.,dogs,playing
Two dogs play rough in a grassy yard.,3486538055.jpg,1,Two dogs, play rough in a grassy yard.,dogs,play
Two dogs are fighting.,3486538055.jpg,1,Two dogs,are fighting.,dogs,fighting
Two dogs are jumping at each-other and biting.,3486538055.jpg,1,Two dogs,are jumping at each-other and biting.,dogs,jumping
Two dogs are playing together rather roughly outside.,3486538055.jpg,1,Two dogs,are playing together rather roughly outside.,dogs,playing
2 dogs are fighting in a yard with a fence.,3486538055.jpg,1,Two dogs,are fighting in a yard with a fence.,dogs,fighting
Two dogs are playing,3486538055.jpg,1,Two dogs,are playing,dogs,playing
Two dogs are fighting,3486538055.jpg,1,Two dogs,are fighting,dogs,fighting
One brown dog and one black dog of the same size are jumping on each other outside.,3486538055.jpg,1,One brown dog and one black dog of the same size,are jumping on each other outside.,dog,jumping
Two dogs are jumping and biting each other outside.,3486538055.jpg,1,Two dogs,are jumping and biting each other outside.,dogs,jumping
two dogs are fighting and biting into each other.,3486538055.jpg,1,two dogs,are fighting and biting into each other.,dogs,fighting
Two large dogs are trying to bite each other in a backyard.,3486538055.jpg,1,Two large dogs,are trying to bite each other in a backyard.,dogs,trying
Dogs are playing.,3486538055.jpg,1,Dogs,are playing.,Dogs,playing
two dogs fighting,3486538055.jpg,1,two dogs, fighting,dogs,fighting
Two dogs leap into the air while biting each other.,3486538055.jpg,1,Two dogs, leap into the air while biting each other.,dogs,leap
Two dogs are playing in a yard.,3486538055.jpg,1,Two dogs,are playing in a yard.,dogs,playing
A woman is looking through a microscope,6893218038.jpg,1,A woman,is looking through a microscope,woman,looking
A person is looking in a microscope.,6893218038.jpg,1,A person,is looking in a microscope.,person,looking
A lady in a lab coat is looking down a microscope in a dimly lit room.,6893218038.jpg,1,A lady,is looking down a microscope in a dimly lit room.,lady,looking
A woman is looking through a microscope,6893218038.jpg,1,A woman,is looking through a microscope,woman,looking
A woman is peering into a microscope.,6893218038.jpg,1,A woman,is peering into a microscope.,woman,peering
a woman is looking through the lenses of a microscope.,6893218038.jpg,1,a woman,is looking through the lenses of a microscope.,woman,looking
A lab technician is viewing some slides in her microscope.,6893218038.jpg,1,A lab technician,is viewing some slides in her microscope.,technician,viewing
A woman is looking through a microscope,6893218038.jpg,1,A woman,is looking through a microscope,woman,looking
A scientist is looking through a microscope.,6893218038.jpg,1,A scientist,is looking through a microscope.,scientist,looking
A scientist is looking throw a microscope.,6893218038.jpg,1,A scientist,is looking throw a microscope.,scientist,looking
A scientist is looking through a microscope in a room.,6893218038.jpg,1,A scientist,is looking through a microscope in a room.,scientist,looking
A man is looking in a microscope.,6893218038.jpg,1,A man,is looking in a microscope.,man,looking
A woman is a lab coat is looking through a microscope.,6893218038.jpg,1,A woman in a lab coat, is looking through a microscope.,woman,looking
A woman is using a microscope.,6893218038.jpg,1,A woman,is using a microscope.,woman,using
A woman is looking into a large microscope.,6893218038.jpg,1,A woman,is looking into a large microscope.,woman,looking
A woman views something with a microscope.,6893218038.jpg,1,A woman, views something with a microscope.,woman,views
A woman is working with a microscope.,6893218038.jpg,1,A woman,is working with a microscope.,woman,working
A woman is looking through a microscope.,6893218038.jpg,1,A woman,is looking through a microscope.,woman,looking
A woman is looking through a microscope.,6893218038.jpg,1,A woman,is looking through a microscope.,woman,looking
A woman is viewing a sample through the microscope.,6893218038.jpg,1,A woman,is viewing a sample through the microscope.,woman,viewing
A lab technician is looking thru a microscope,6893218038.jpg,1,A lab technician,is looking through a microscope,technician,looking
A scientist is using a microscope.,6893218038.jpg,1,A scientist,is using a microscope.,scientist,using
A lab worker is looking at something through the microscope.,6893218038.jpg,1,A lab worker,is looking at something through the microscope.,worker,looking
A woman is looking into a microscope.,6893218038.jpg,1,A woman,is looking into a microscope.,woman,looking
A woman uses a microscope.,6893218038.jpg,1,A woman, uses a microscope.,woman,uses
A white woman wearing blue medical gear and purple gloves looks into a microscope.,6893218038.jpg,1,A white woman, looks into a microscope.,woman,looks
a woman looking through a microscope,6893218038.jpg,1,a woman, looking through a microscope,woman,looking
she doing on telescope,6893218038.jpg,1,she, doing on telescope,she,doing
A woman is looking at something through a microscope.,6893218038.jpg,1,A woman,is looking at something through a microscope.,woman,looking
A young girl is eating food.,4104826512.jpg,1,A young girl,is eating food.,girl,eating
A young black child eating.,4104826512.jpg,1,A young black child, eating,child,eating
a baby eating,4104826512.jpg,1,a baby, eating,baby,eating
A child is eating food with a spoon.,4104826512.jpg,1,A child,is eating food with a spoon.,child,eating
A small child is eating a bowl of food.,4104826512.jpg,1,A small child,is eating a bowl of food.,child,eating
A child is eating from a spoon,4104826512.jpg,1,A child,is eating from a spoon,child,eating
A small African child eats a bowl of mashed potatoes.,4104826512.jpg,1,A small African child, eats a bowl of mashed potatoes.,child,eats
A child is eating.,4104826512.jpg,1,A child,is eating.,child,eating
A boy is eating rice,4104826512.jpg,1,A boy,is eating rice,boy,eating
a little girl is eating,4104826512.jpg,1,a little girl,is eating,girl,eating
A child is putting food in their mouth from a green bowl.,4104826512.jpg,1,A child,is putting food in their mouth from a green bowl.,child,putting
A girl is eating food with a spoon.,4104826512.jpg,1,A girl,is eating food with a spoon.,girl,eating
A child is eating a bowl of food.,4104826512.jpg,1,A child,is eating a bowl of food.,child,eating
A young child is eating from a large spoon.,4104826512.jpg,1,A young child,is eating from a large spoon.,child,eating
A young girl eats food with a spoon.,4104826512.jpg,1,A young girl, eats food with a spoon.,girl,eats
A kid is eating.,4104826512.jpg,1,A kid,is eating.,kid,eating
A young African american child is seen eating some food with a spoon in a room with other children.,4104826512.jpg,1,A young African american child,is seen eating some food with a spoon in a room with other children.,child,is
A kid is eating food with a spoon.,4104826512.jpg,1,A kid,is eating food with a spoon.,kid,eating
A little girls eats some food from a green bowl.,4104826512.jpg,1,A little girl, eats some food from a green bowl.,girl,eats
